agencies,city,total,native,asian,black,pacific,other,white,multi,latino,sub_total,native_arrests,asian_arrests,black_arrests,latino_arrests,pacific_arrests,other_arrests,white_arrests,arrest_total,native_percnt,asian_percnt,black_percnt,latino_percnt,pacific_percnt,other_percnt,white_percnt,native_arrests_percnt,asian_arrests_percnt,black_arrests_percnt,latino_arrests_percnt,pacific_arrests_percnt,other_arrests_percnt,white_arrests_percnt,native_diff,asian_diff,black_diff,latino_diff,pacific_diff,other_diff,white_diff,city_trim
Medford PD,Medford city,85824,534,1419,605,345,321,49985,3727,9325,66606,83,64,841,628,57,166,14445,16284,0.008017295739122602,0.021304386992162867,0.009083265771852386,0.14000240218598925,0.005179713539320782,0.004819385640933249,0.7504579167042008,0.005097027757307786,0.003930238270695161,0.051645787275853595,0.03856546303119627,0.0035003684598378776,0.010194055514615573,0.8870670596904937,-0.002920267981814816,-0.017374148721467707,0.04256252150400121,-0.10143693915479299,-0.0016793450794829047,0.005374669873682324,0.1366091429862929,Medford
Milwaukie PD,Milwaukie city,21119,121,473,251,66,108,14256,993,1270,17604,10,16,70,14,7,42,833,992,0.006873437855032947,0.02686889343331061,0.014258123153828675,0.07214269484208134,0.003749147920927062,0.006134969325153374,0.8098159509202454,0.010080645161290322,0.016129032258064516,0.07056451612903226,0.014112903225806451,0.007056451612903226,0.04233870967741935,0.8397177419354839,0.0032072073062573755,-0.010739861175246095,0.05630639297520359,-0.05802979161627489,0.0033073036919761636,0.03620374035226598,0.029901791015238488,Milwaukie
Molalla PD,Molalla city,10228,44,73,27,18,34,5869,366,975,7424,1,1,6,24,3,25,611,671,0.005926724137931034,0.009832974137931034,0.003636853448275862,0.13133081896551724,0.0024245689655172415,0.0045797413793103444,0.7905441810344828,0.0014903129657228018,0.0014903129657228018,0.00894187779433681,0.03576751117734724,0.004470938897168405,0.037257824143070044,0.910581222056632,-0.004436411172208232,-0.008342661172208232,0.005305024346060949,-0.09556330778816999,0.002046369931651164,0.0326780827637597,0.12003704102214918,Molalla
Mt. Angel PD,Mount Angel city,3392,16,18,5,1,6,1742,98,662,2549,1,1,8,109,3,7,160,289,0.006276971361318164,0.007061592781482934,0.001961553550411926,0.25970969007453903,3.9231071008238524e-4,0.0023538642604943117,0.6834052569635151,0.0034602076124567475,0.0034602076124567475,0.02768166089965398,0.3771626297577855,0.010380622837370242,0.02422145328719723,0.5536332179930796,-0.0028167637488614164,-0.0036013851690261866,0.025720107349242054,0.11745293968324644,0.009988312127287857,0.02186758902670292,-0.12977203897043543,Mount Angel
Newberg-Dundee PD,Newberg city,25138,118,411,147,40,76,15255,1029,2529,19645,11,23,88,342,10,11,1717,2202,0.006006617459913464,0.02092135403410537,0.007482820055993891,0.12873504708577246,0.0020361415118350726,0.0038686688724866376,0.7765334690761008,0.004995458673932788,0.01044504995458674,0.03996366939146231,0.1553133514986376,0.004541326067211626,0.004995458673932788,0.7797456857402362,-0.0010111587859806754,-0.010476304079518632,0.032480849335468416,0.026578304412865128,0.0025051845553765535,0.0011267898014461508,0.0032122166641354033,Newberg
Newberg-Dundee PD,Dundee city,3238,12,37,6,5,11,2006,92,293,2467,11,23,88,342,10,11,1717,2202,0.004864207539521687,0.014997973246858533,0.0024321037697608433,0.11876773408998784,0.002026753141467369,0.0044588569112282124,0.8131333603567086,0.004995458673932788,0.01044504995458674,0.03996366939146231,0.1553133514986376,0.004541326067211626,0.004995458673932788,0.7797456857402362,1.312511344111018e-4,-0.004552923292271794,0.037531565621701464,0.036545617408649755,0.002514572925744257,5.36601762704576e-4,-0.03338767461647241,Dundee
Newport PD,Newport city,10256,108,170,42,25,53,6309,429,1239,8400,117,11,65,215,13,329,2276,3026,0.012857142857142857,0.02023809523809524,0.005,0.1475,0.002976190476190476,0.006309523809523809,0.7510714285714286,0.03866490416391276,0.0036351619299405157,0.021480502313284865,0.07105089226701916,0.004296100462656973,0.10872438863185724,0.7521480502313285,0.0258077613067699,-0.016602933308154724,0.016480502313284864,-0.07644910773298083,0.0013199099864664972,0.10241486482233343,0.0010766216598998568,Newport
Ontario PD,Ontario city,11645,96,181,79,10,35,4650,306,3115,8482,22,1,69,14,2,6,1598,1712,0.01131808535722707,0.02133930676727187,0.00931384107521811,0.36724829049752417,0.001178967224711153,0.004126385286489035,0.5482197594906861,0.012850467289719626,5.841121495327102e-4,0.04030373831775701,0.008177570093457943,0.0011682242990654205,0.0035046728971962616,0.9334112149532711,0.0015323819324925565,-0.02075519461773916,0.030989897242538898,-0.35907072040406623,-1.074292564573259e-5,-6.217123892927738e-4,0.38519145546258493,Ontario
Oregon City PD,Oregon City city,37572,179,662,292,61,146,23882,1549,2191,29023,8,21,84,91,8,50,1594,1856,0.006167522309892154,0.02280949591703132,0.010060986114460945,0.07549185129035592,0.00210178134582917,0.0050304930572304726,0.8228646246080694,0.004310344827586207,0.011314655172413793,0.04525862068965517,0.0490301724137931,0.004310344827586207,0.02693965517241379,0.8588362068965517,-0.0018571774823059476,-0.011494840744617528,0.03519763457519423,-0.026461678876562818,0.002208563481757037,0.021909162115183317,0.035971582288482296,Oregon City
Pendleton PD,Pendleton city,17107,483,159,244,14,65,10735,571,1388,13673,768,19,128,176,2,15,3073,4181,0.03532509324946976,0.011628757405104951,0.017845388722299422,0.10151393256783442,0.0010239157463614423,0.0047538945366781245,0.7851239669421488,0.1836881128916527,0.004544367376225784,0.03061468548194212,0.04209519253767041,4.7835446065534564e-4,0.0035876584549150922,0.7349916287969386,0.14836301964218296,-0.007084390028879168,0.012769296759642699,-0.05941874003016401,-5.455612857060967e-4,-0.0011662360817630323,-0.05013233814521023,Pendleton
